tweet,sentiment
"tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[","empty"
"Layin  bed with a headache  ughhhh waitin on your call","sadness"
"Funeral ceremony gloomy friday","sadness"
"wants to hang out with friends SOON","enthusiasm"
"dannycastillo We want to trade with someone who has Houston tickets","neutral"
"Re-pinging @ghostridah14: why didnt you go to prom? BC my bf didnt like my friends","worry"
"I should be sleep","sadness"
"@charviray Charlene my love. I miss you","sadness"
"cant fall asleep","neutral"
"Choked on her retainers","worry"
"Ugh! I have to beat this stupid song to get to the next  rude!","sadness"
"@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol","sadness"
"Got the news","surprise"
"The storm is here and the electricity is gone","sadness"
"@annarosekerr agreed","love"
"So sleepy again and its not even that late. I fail once again.","sadness"
"@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know","worry"
"How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend","sadness"
"@raaaaaaek oh too bad! I hope it gets better. Ive been having sleep issues lately too","worry"
"Wondering why Im awake at 7am","fun"
"No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps","neutral"
"I ate Something I dont know what it is... Why do I keep Telling things about food","worry"
"so tired and i think im definitely going to get an ear infection.  going to bed &quotearly&quot for once.","sadness"
"On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old","worry"
"@IsaacMascote  im sorry people are so rude to you","sadness"
"Damm servers still down  i need to hit 80 before all the koxpers pass me","worry"
"Fudge.... Just BSd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!","sadness"
"I HATE CANCER. I HATE IT I HATE IT I HATE IT.","worry"
"It is so annoying when she starts typing on her computer in the middle of the night!","hate"
"@cynthia_123 i cant sleep","neutral"
"I missed the bl***y bus!!!!!!!!","neutral"
"feels strong contractions but wants to go out.  http://plurk.com/p/wxidk","neutral"
"SoCal!  stoked. or maybe not.. tomorrow","neutral"
"Screw you @davidbrussee! I only have 3 weeks...","neutral"
"@ether_radio yeah :S i feel all funny cause i havent slept enough  i woke my mum up cause i was singing shes not impressed :S you?","sadness"
"I need skott right now","worry"
"has work this afternoon","neutral"
"@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry","neutral"
"mmm much better day... so far! its still quite early. last day of #uds","happiness"
"@DavidArchie &lt3 your gonna be the first  twitter ) cause your amazing lol. come to canada  would do anything to see you perform","fun"
"just picked up her Blackberry from the middle of the street! Both she and it are crushed!","worry"
"Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think Im missing something...","worry"
"@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken","empty"
"Im having a problem with my photo here in twitter amf!!!...cant see my face!","sadness"
"wnna take a bath!!!!","neutral"
"Chocolate milk is so much better through a straw. I lack said straw","neutral"
"@djmicdamn hey yu lil fucker i textd yu","empty"
"@Mennard time diff and ive just been wrapped up in day to day stuff so i havent been tweeting. talk soon","neutral"
"@benballer  no way! damn that sucks B!  are you ok?","neutral"
"sucks not being able to take days off of work or have the money to take the trip  so sad","worry"
"bed...sorta. today was good","enthusiasm"
"@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but well cope","neutral"
"@lostluna But I got dibs on Sulu...","neutral"
"@maternitytees Aww  Onward and upwards now","sadness"
"@itsgabbith at once haha.  poor aby still gets sore!","worry"
"diesel yaris... 70mpg  so sad its not available in the US. Thatd be awesome.","sadness"
"I want to buy this great album but unfortunately i dont hav enuff funds  its &quotlong time noisy&quot","sadness"
"@Pokinatcha  in all honesty...pain   blech.","sadness"
"Ok ... the passengers ... no one is alive ... theyre all dead ... you just dont know it til the end ... then you cry ...","sadness"
"At home alone with not much to do","neutral"
"@DavidCookLove ia so much! i havent really been happy with any of cooks choices for singles.","worry"
"@vincew @stefanyngo  i fell asleep on the beach and didnt put on enough sunscreen  lol","sadness"
"So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin","worry"
"So great to see Oin &amp Cynthia.  So happy.  Dinner was great","happiness"
"I cant give @jertronic any bday nudges.","neutral"
"...and all woman who transfer their first impressions (sexual/maternal) onto a less threatening man -- are themselves as weak as Him","worry"
"Brothers Bloom wont be opening this weekend in El Paso.  Ill just buy Brick and enjoy that until I can watch Brothers Bloom.","neutral"
"says I miss plurking.  http://plurk.com/p/wxion","neutral"
"Bitten to blood by my cat","worry"
"I miss Voobys!","neutral"
"@havingmysay  dude","happiness"
"is sad that shin ae got married...and it wasnt to alex","worry"
"@shondarhimes Sure you will tweet about this when youre back","worry"
"@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?","sadness"
"there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.","neutral"
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move","sadness"
"goooood mooorning people... sun is out.. definitly spring now","worry"
"@artfuldodga I love those itsakey USB sticks. We only have the 4GB in Australia","sadness"
"fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw","worry"
"dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i cant watch and code","hate"
"@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you","worry"
"I cant sleep...I keep thinking about the puppy I played with today","worry"
".. Im suppposed to be sleep. But i got some much to do. &amp i got that one part of the song stuck in my head &quotyour a jerk (iknow)&quot  blaahh","worry"
